2019-06-23 10:55:35.971496, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:55:37.457119, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:56:00.098893, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:56:01.135197, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:56:42.231295, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:56:43.608334, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:57:03.161112, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:57:04.631029, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:57:22.401096, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:57:23.876865, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:58:09.294312, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:58:10.498175, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:58:41.715044, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:58:43.438280, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:59:08.764629, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:59:10.230412, INFO, BHS_INTF, Got BAG_START
2019-06-23 10:59:44.504375, INFO, BHS_INTF, Got BAG_END
2019-06-23 10:59:46.002116, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:00:57.692270, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:00:59.194287, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:01:32.781218, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:01:34.540605, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:01:52.774674, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:01:53.958172, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:02:40.423420, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:02:41.836800, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:03:10.665521, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:03:11.896302, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:03:38.866281, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:03:40.568772, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:04:08.264753, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:04:09.816568, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:04:14.613465, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:04:16.254676, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:05:16.717246, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:05:18.055564, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:06:03.492603, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:06:06.510948, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:06:33.017230, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:06:34.847667, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:07:04.525807, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:07:06.026312, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:07:31.309066, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:07:32.836789, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:08:03.972013, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:08:05.266700, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:09:34.359160, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:09:35.974027, INFO, BHS_INTF, Got BAG_START
2019-06-23 11:10:01.274025, INFO, BHS_INTF, Got BAG_END
2019-06-23 11:10:02.451979, INFO, BHS_INTF, Got BAG_START
