2019-05-06 11:11:37.160840, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000161] is in the window to link with internal bag_id [000022611], scan state: NotScanned, travel dist: 1673.00, beam_diff: 83.00 entry pos: 436520.00
2019-05-06 11:11:59.067148, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000167] is in the window to link with internal bag_id [000022612], scan state: NotScanned, travel dist: 1652.00, beam_diff: 62.00 entry pos: 437631.00
2019-05-06 11:12:07.208968, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000014b] is in the window to link with internal bag_id [000022613], scan state: NotScanned, travel dist: 1633.00, beam_diff: 43.00 entry pos: 438868.00
2019-05-06 11:12:28.809218, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000168] is in the window to link with internal bag_id [000022614], scan state: NotScanned, travel dist: 1643.00, beam_diff: 53.00 entry pos: 439897.00
2019-05-06 11:12:50.428356, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000158] is in the window to link with internal bag_id [000022615], scan state: NotScanned, travel dist: 1636.00, beam_diff: 46.00 entry pos: 440953.00
2019-05-06 11:12:57.277681, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000155] is in the window to link with internal bag_id [000022616], scan state: NotScanned, travel dist: 1674.00, beam_diff: 84.00 entry pos: 441940.00
2019-05-06 11:13:18.731240, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000154] is in the window to link with internal bag_id [000022617], scan state: NotScanned, travel dist: 1638.00, beam_diff: 48.00 entry pos: 442992.00
2019-05-06 11:13:25.806897, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000159] is in the window to link with internal bag_id [000022618], scan state: NotScanned, travel dist: 1674.00, beam_diff: 84.00 entry pos: 444014.00
2019-05-06 11:13:46.524605, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000014f] is in the window to link with internal bag_id [000022619], scan state: NotScanned, travel dist: 1636.00, beam_diff: 46.00 entry pos: 445054.00
2019-05-06 11:14:08.098011, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000148] is in the window to link with internal bag_id [000022620], scan state: NotScanned, travel dist: 1671.00, beam_diff: 81.00 entry pos: 446060.00
2019-05-06 11:15:20.828928, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000016c] is in the window to link with internal bag_id [000022621], scan state: NotScanned, travel dist: 1670.00, beam_diff: 80.00 entry pos: 447834.00
2019-05-06 11:15:27.803857, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000163] is in the window to link with internal bag_id [000022622], scan state: NotScanned, travel dist: 1676.00, beam_diff: 86.00 entry pos: 448872.00
